Taajuus (Hz),Sähkövirran amplitudi (A),Sähkövirran amplitudi (mA),Virhe
60,0.010299190651983267,10.299190651983267,2.1942527226968715e-05
70,0.012689352134107254,12.689352134107255,1.9451780592949488e-05
80,0.015556726590917246,15.556726590917245,2.389752700888762e-05
90,0.019024001485774076,19.024001485774075,2.8869540414060972e-05
100,0.02339436930213091,23.394369302130908,2.2670952536847597e-05
110,0.029062517001822018,29.062517001822016,1.3316756429278999e-05
120,0.0365888973662745,36.5888973662745,1.3799638198630192e-05
130,0.04709076611241545,47.09076611241545,1.575902968075864e-05
140,0.060063931135154944,60.063931135154945,1.3747500415270505e-05
150,0.07254960604392108,72.54960604392107,2.0377835217678356e-05
155,0.07758054518067653,77.58054518067652,2.737637809777225e-05
157,0.07840790224201168,78.40790224201167,1.8885574519426627e-05
159,0.07873272952855787,78.73272952855787,2.1603048262019713e-05
160,0.07753294000490545,77.53294000490544,2.4095220970480543e-05
163,0.07799531444404911,77.99531444404911,1.8467149762022653e-05
165,0.07703520501605078,77.03520501605078,2.0084256388560166e-05
170,0.07233618364337571,72.33618364337572,2.0339396194383693e-05
180,0.06294947017368055,62.94947017368055,1.580640560810218e-05
190,0.053793484192951734,53.79348419295173,1.5257133863321388e-05
200,0.04616900293338783,46.16900293338783,1.60471649154207e-05
210,0.04004820987472391,40.04820987472391,1.5154345341260347e-05
220,0.03527302865833992,35.273028658339925,1.2770256821565563e-05
230,0.03155600433649525,31.556004336495246,1.3108928765770916e-05
240,0.028567468521610847,28.56746852161085,1.3972187277483568e-05
250,0.026099161789885545,26.099161789885546,1.3481302297507949e-05
